List1,List2,List3
2,3,1.0
135,106,5.0
8,2,5.0
256,55,5.0
106,55,3.0
277,6,3.0
10,0,4.0
283,2,4.0
19,3,4.0
281,52,1.0
91,71,3.0
55,6,3.0
268,199,5.0
293,236,5.0
0,5,3.0
127,65,5.0
201,60,5.0
165,41,3.0
276,45,3.0
321,7,1.0
11,1,1.0
80,87,2.0
297,7,4.0
321,55,2.0
0,0,3.0
201,161,3.0
11,0,2.0
117,7,4.0
285,52,4.0
7,5,1.0
136,36,4.0
0,1,1.0
89,41,4.0
0,0,4.0
29,18,3.0
160,70,5.0
81,41,2.0
82,7,3.0
119,38,5.0
10,4,3.0
255,2,5.0
220,42,3.0
319,52,3.0
23,0,3.0
66,50,3.0
184,7,1.0
0,0,5.0
4,6,1.0
89,64,5.0
254,55,3.0
121,6,4.0
6,3,2.0
166,45,4.0
6,3,1.0
0,2,4.0
110,55,2.0
275,45,3.0
6,6,4.0
18,5,5.0
288,2,5.0
100,54,4.0
40,55,5.0
108,56,4.0
168,70,5.0
234,7,4.0
225,42,4.0
143,115,4.0
64,41,4.0
66,7,4.0
18,2,4.0
96,36,4.0
23,7,2.0
64,6,3.0
268,195,3.0
307,241,3.0
275,0,2.0
11,1,1.0
178,117,5.0
120,55,5.0
23,2,4.0
201,146,2.0
90,2,3.0
76,74,5.0
223,2,3.0
237,7,5.0
107,41,4.0
1,1,1.0
268,204,1.0
119,42,5.0
237,2,4.0
293,7,3.0
308,7,5.0
291,45,2.0
193,55,5.0
292,45,4.0
286,2,4.0
305,55,1.0
290,55,3.0
129,74,3.0
306,239,5.0
177,2,2.0
101,26,3.0
114,74,5.0
82,48,3.0
6,7,5.0
23,5,2.0
160,42,2.0
54,42,4.0
0,5,2.0
268,206,4.0
0,1,4.0
2,2,3.0
223,55,5.0
26,12,5.0
144,109,3.0
13,0,2.0
18,4,3.0
205,55,3.0
23,6,2.0
0,2,3.0
137,6,2.0
11,6,5.0
241,7,1.0
10,6,3.0
159,41,1.0
3,5,2.0
20,0,3.0
72,2,2.0
49,55,4.0
96,54,5.0
132,70,5.0
23,5,2.0
33,6,5.0
290,2,4.0
200,6,3.0
18,4,2.0
61,18,4.0
1,0,1.0
201,122,1.0
0,0,3.0
149,65,3.0
0,5,1.0
293,6,3.0
69,43,1.0
0,1,3.0
10,0,4.0
303,2,3.0
159,7,1.0
201,101,5.0
18,5,1.0
295,7,2.0
0,6,4.0
164,113,5.0
151,55,5.0
288,52,4.0
22,0,3.0
3,6,4.0
73,78,2.0
6,4,5.0
22,0,4.0
228,45,3.0
270,217,5.0
4,3,1.0
170,109,5.0
314,6,5.0
87,78,4.0
303,55,4.0
234,41,5.0
165,42,5.0
144,116,3.0
317,41,1.0
0,2,5.0
4,2,2.0
270,209,5.0
8,0,1.0
143,57,4.0
209,55,3.0
51,6,4.0
23,1,2.0
175,55,5.0
288,45,1.0
147,68,4.0
163,110,5.0
241,45,1.0
280,6,5.0
3,3,3.0
159,6,4.0
31,6,5.0
6,3,2.0
71,48,4.0
31,16,5.0
172,59,5.0
267,6,4.0
23,2,5.0
4,6,1.0
309,7,5.0
18,5,1.0
201,164,5.0
0,0,2.0
162,41,5.0
22,6,4.0
21,5,2.0
88,36,4.0
140,59,4.0
240,6,2.0
71,81,3.0
162,55,5.0
68,55,4.0
11,4,4.0
6,3,1.0
6,6,1.0
323,52,4.0
8,6,1.0
227,45,1.0
253,2,4.0
0,5,4.0
0,6,3.0
49,2,5.0
11,0,4.0
246,7,1.0
314,248,4.0
206,6,4.0
41,60,3.0
24,3,4.0
202,55,5.0
295,237,1.0
90,73,1.0
65,47,5.0
89,70,3.0
0,2,4.0
270,41,4.0
68,54,4.0
0,0,4.0
4,3,1.0
316,2,5.0
11,1,2.0
9,0,5.0
133,72,5.0
23,6,3.0
11,7,4.0
230,55,5.0
6,3,1.0
70,7,3.0
303,42,2.0
289,7,1.0
239,55,4.0
282,55,4.0
52,38,5.0
291,2,3.0
6,0,5.0
176,2,5.0
59,7,4.0
68,7,5.0
29,20,5.0
12,1,2.0
0,1,3.0
94,52,4.0
120,52,1.0
198,52,5.0
10,0,3.0
1,0,1.0
307,6,5.0
234,45,5.0
23,2,3.0
23,0,2.0
52,61,5.0
274,2,2.0
197,55,3.0
0,7,4.0
205,2,1.0
224,7,4.0
109,45,5.0
230,109,5.0
8,6,5.0
2,4,1.0
6,4,4.0
8,0,1.0
0,3,4.0
6,6,4.0
268,158,1.0
45,56,5.0
105,68,2.0
258,2,4.0
69,6,5.0
80,90,5.0
178,6,3.0
321,52,2.0
238,6,3.0
44,67,4.0
150,63,3.0
303,7,5.0
0,7,4.0
201,160,4.0
3,2,2.0
137,52,5.0
201,172,2.0
30,23,1.0
274,7,1.0
8,7,2.0
63,67,5.0
10,6,5.0
184,45,5.0
0,5,1.0
197,6,4.0
160,48,4.0
261,55,5.0
221,6,3.0
237,52,5.0
290,55,3.0
0,6,4.0
301,7,1.0
243,42,3.0
82,41,4.0
311,7,5.0
1,1,1.0
279,6,4.0
305,2,3.0
206,2,2.0
228,41,4.0
6,4,1.0
23,7,5.0
216,38,4.0
322,234,5.0
275,7,4.0
201,165,4.0
286,7,5.0
200,141,5.0
203,52,2.0
289,52,4.0
23,0,3.0
117,34,3.0
293,66,4.0
4,6,1.0
248,38,5.0
201,2,5.0
277,208,4.0
23,2,5.0
23,7,4.0
65,61,4.0
303,52,4.0
62,41,5.0
100,61,4.0
72,6,4.0
23,4,3.0
236,55,5.0
136,59,3.0
169,6,4.0
36,6,4.0
192,6,5.0
54,17,3.0
22,0,4.0
295,6,4.0
129,2,3.0
51,41,4.0
87,64,2.0
23,6,3.0
122,43,3.0
301,55,4.0
162,69,2.0
284,52,3.0
6,0,5.0
46,45,3.0
83,42,4.0
8,6,3.0
321,2,3.0
144,117,5.0
1,1,1.0
0,5,3.0
46,68,4.0
255,6,4.0
230,74,5.0
274,41,3.0
201,173,3.0
71,83,3.0
258,42,5.0
23,0,5.0
0,6,2.0
22,0,1.0
94,41,5.0
103,52,5.0
73,55,3.0
234,2,4.0
140,7,3.0
37,42,3.0
18,4,2.0
122,74,5.0
18,2,2.0
195,52,2.0
243,7,4.0
8,5,1.0
46,66,4.0
0,1,4.0
0,0,4.0
135,41,4.0
0,6,5.0
283,45,2.0
263,55,5.0
253,6,4.0
113,6,3.0
110,65,2.0
20,5,2.0
0,0,5.0
230,7,5.0
10,7,4.0
57,34,4.0
151,42,4.0
323,55,4.0
123,6,4.0
8,1,1.0
296,41,4.0
7,1,2.0
121,75,4.0
242,52,3.0
23,2,4.0
241,42,1.0
166,34,5.0
20,7,4.0
